1	:	애처가 :	愛妻家 [あいさいか]	:	挨拶 [あいさつ]	:	間 [あいだ] 	:	アイディア	:	1	:	*愛妻家 [あいさいか]애처가*挨拶 [あいさつ]인사	:	*間 [あいだ]사이*アイディア아이디어	:	0
2	:	만나다,맞다,어울리다	:	会う [あう]	:	青 [あお] 	:	青い [あおい]	:	赤 [あか]	:	1	:	*会う [あう] 만나다,맞다,어울리다*青 [あお] 파랑	:	*青い [あおい] 파랗다*赤 [あか] 빨강	:	0
3	:	빨갛다	:	赤い [あかい] 	:	赤ちゃん [あかちゃん]	:	上がる [あがる]	:	明るい [あかるい]	:	1	:	*赤い [あかい] 빨갛다*赤ちゃん [あかちゃん] 아기	:	*上がる [あがる] 오르다*明るい [あかるい] 밝다	:	0
4	:	갓난아기	:	赤ん坊 [あかんぼう]	:	秋 [あき	:	空く [あく]	:	開く [あく]	:	1	:	*赤ん坊 [あかんぼう] 갓난아기*秋 [あき] 가을	:	*空く [あく] 비다*開く [あく] 열다	:	0
5	:	악세사리	:	アクセサリー	:	開ける [あける]	:	上げる [あげる]	:	あげる	:	1	:	*アクセサリー 액세서리*開ける [あける] 열다	:	*上げる [あげる] 올리다*あげる 주다	:	0
6	:	아침	:	朝 [あさ]		:	浅い [あさい]	:	朝御飯 [あさごはん]	:	明後日 [あさって/みょうごにち]	:	1	:	*朝 [あさ] 아침*浅い [あさい] 얕다	:	*朝御飯 [あさごはん] 아침밥*明後日 [あさって/みょうごにち] 모레	:	0
7	:	아침저녁	:	朝晩 [あさばん]	:	足 [あし]	:	味 [あじ] 	:	明日 [あした]	:	1	:	*朝晩 [あさばん] 아침저녁*足 [あし] 다리, 발	:	*味 [あじ] 맛*明日 [あした] 내일	:	0
8	:	내일	:	明日 [あす]	:	あそこ	:	遊ぶ [あそぶ] 	:	暖かい [あたたかい]	:	1	:	*明日 [あす] 내일*あそこ 저기	:	*遊ぶ [あそぶ] 놀다*暖かい [あたたかい] (날씨, 기온이) 따뜻하다	:	0	
9	:	(음식, 차 마음이) 따뜻하다	:	温かい [あたたかい]	:	頭 [あたま] 	:	頭に来る [あたまに くる]	:	新しい [あたらしい]	:	1	:	*温かい [あたたかい] (음식, 차 마음이) 따뜻하다*頭 [あたま] 머리	:	*頭に来る [あたまに くる] 화가 나다*新しい [あたらしい] 새롭다	:	0
10	:	저쪽	:	あちら	:	熱い [あつい]	:	暑い [あつい]	:	厚い [あつい] 	:	1	:	*あちら 저쪽*熱い [あつい] 뜨겁다	:	*暑い [あつい] 덥다*厚い [あつい] 두껍다	:	0	
11	:	더위	:	暑さ [あつさ	:	あっち [あっち] 	:	集まる [あつまる]	:	集める [あつめる]	:	1	:	*暑さ [あつさ] 더위*あっち [あっち] 저쪽		:	*集まる [あつまる] 모이다*集める [あつめる] 모으다	:	0	
